,feature,importance,normalized_importance,cumulative_importance
74,banner_id_20732136.0,6.5,0.0029121863799283147,0.45201612903225796
75,advertiser_id_61825.0,6.499999999999999,0.0029121863799283143,0.45492831541218626
76,advertiser_id_491143.0,6.499999999999999,0.0029121863799283143,0.45784050179211455
77,zone_id_10418061.0,6.400000000000001,0.002867383512544803,0.46070788530465934
78,banner_id_20245435.0,6.4,0.0028673835125448024,0.4635752688172041
79,advertiser_id_19761.0,6.3999999999999995,0.002867383512544802,0.4664426523297489
80,zone_id_4375553.0,6.3999999999999995,0.002867383512544802,0.4693100358422937
81,os_version_other,6.3999999999999995,0.002867383512544802,0.4721774193548385
82,lang_fr,6.3,0.0028225806451612897,0.47499999999999976
83,isp_104258.0,6.2,0.0027777777777777775,0.4777777777777775
84,region_code_23756.0,6.2,0.0027777777777777775,0.4805555555555553
85,zone_id_10417508.0,6.199999999999999,0.002777777777777777,0.48333333333333306
86,geo_IR,6.1,0.0027329749103942643,0.4860663082437273
87,netspeed_WIRELESS,6.0,0.002688172043010752,0.48875448028673807
88,banner_id_22731660.0,6.0,0.002688172043010752,0.4914426523297488
89,banner_id_23804933.0,5.9,0.0026433691756272398,0.49408602150537606
90,region_code_12137.0,5.800000000000001,0.0025985663082437275,0.4966845878136198
91,banner_id_22536825.0,5.800000000000001,0.0025985663082437275,0.4992831541218635
92,isp_78476.0,5.8,0.002598566308243727,0.5018817204301073
93,city_code_14400.0,5.7,0.0025537634408602148,0.5044354838709675
94,region_code_5.0,5.699999999999999,0.0025537634408602143,0.5069892473118277
95,netspeed_SATELLITE,5.6000000000000005,0.002508960573476702,0.5094982078853044
96,zone_id_4257890.0,5.6,0.0025089605734767016,0.5120071684587811
97,zone_id_13112760.0,5.6,0.0025089605734767016,0.5145161290322579
98,isp_8234.0,5.5,0.0024641577060931894,0.5169802867383511
99,advertiser_id_538110.0,5.5,0.0024641577060931894,0.5194444444444443
100,advertiser_id_445986.0,5.499999999999999,0.002464157706093189,0.5219086021505375
101,isp_107201.0,5.4,0.002419354838709677,0.5243279569892472
102,netspeed_CABLE,5.4,0.002419354838709677,0.5267473118279569
103,zone_id_14016878.0,5.3999999999999995,0.0024193548387096767,0.5291666666666666
104,isp_104096.0,5.3999999999999995,0.0024193548387096767,0.5315860215053763
105,banner_id_19702329.0,5.300000000000001,0.002374551971326165,0.5339605734767024
106,isp_69965.0,5.3,0.0023745519713261644,0.5363351254480286
107,region_code_10018.0,5.3,0.0023745519713261644,0.5387096774193548
108,isp_4883.0,5.3,0.0023745519713261644,0.541084229390681
109,offer_id_8845.0,5.299999999999999,0.002374551971326164,0.5434587813620072
110,geo_US,5.200000000000001,0.0023297491039426525,0.5457885304659499
111,geo_FR,5.2,0.002329749103942652,0.5481182795698926
112,region_code_25876.0,5.2,0.002329749103942652,0.5504480286738352
113,advertiser_id_305078.0,5.199999999999999,0.0023297491039426517,0.5527777777777779
114,advertiser_id_69062.0,5.1000000000000005,0.0022849462365591394,0.5550627240143371
115,banner_id_23615799.0,5.1,0.002284946236559139,0.5573476702508963
116,banner_id_23378418.0,5.1,0.002284946236559139,0.5596326164874554
117,isp_88961.0,5.0,0.0022401433691756267,0.5618727598566311
118,banner_id_24164551.0,5.0,0.0022401433691756267,0.5641129032258068
119,banner_id_23348022.0,5.0,0.0022401433691756267,0.5663530465949824
120,region_code_45.0,4.999999999999999,0.0022401433691756263,0.5685931899641581
121,advertiser_id_13992.0,4.999999999999999,0.0022401433691756263,0.5708333333333337
122,region_code_10528.0,4.999999999999999,0.0022401433691756263,0.5730734767025094
123,browser_firefox,4.999999999999999,0.0022401433691756263,0.5753136200716851
124,advertiser_id_609084.0,4.9,0.0021953405017921144,0.5775089605734772
125,region_code_11800.0,4.8999999999999995,0.002195340501792114,0.5797043010752694
126,banner_id_23171136.0,4.8,0.0021505376344086017,0.581854838709678
127,isp_102575.0,4.8,0.0021505376344086017,0.5840053763440867
128,zone_id_12089242.0,4.700000000000001,0.0021057347670250894,0.5861111111111118
129,city_code_14022.0,4.7,0.0021057347670250894,0.5882168458781369
130,advertiser_id_354885.0,4.7,0.0021057347670250894,0.5903225806451621
131,zone_id_11453624.0,4.6000000000000005,0.0020609318996415767,0.5923835125448037
132,city_code_34785.0,4.6000000000000005,0.0020609318996415767,0.5944444444444453
133,region_code_9945.0,4.6,0.0020609318996415763,0.596505376344087
134,isp_115937.0,4.6,0.0020609318996415763,0.5985663082437286
135,geo_SA,4.6,0.0020609318996415763,0.6006272401433702
136,geo_MA,4.6,0.0020609318996415763,0.6026881720430118
137,banner_id_16784695.0,4.6,0.0020609318996415763,0.6047491039426535
138,mobile_isp_1504.0,4.5,0.002016129032258064,0.6067652329749116
139,region_code_25175.0,4.5,0.002016129032258064,0.6087813620071697
140,os_version_xp,4.5,0.002016129032258064,0.6107974910394278
141,zone_id_1081373.0,4.499999999999999,0.0020161290322580636,0.6128136200716859
142,browser_ie,4.499999999999999,0.0020161290322580636,0.6148297491039441
143,region_code_25302.0,4.4,0.0019713261648745518,0.6168010752688186
144,region_code_39.0,4.4,0.0019713261648745518,0.618772401433693
145,zone_id_211157.0,4.3999999999999995,0.0019713261648745513,0.6207437275985676
146,banner_id_22978655.0,4.3999999999999995,0.0019713261648745513,0.622715053763442
147,os_ios,4.300000000000001,0.0019265232974910393,0.624641577060933
148,region_code_9983.0,4.300000000000001,0.0019265232974910393,0.626568100358424
149,region_code_10.0,4.300000000000001,0.0019265232974910393,0.628494623655915
150,zone_id_13921904.0,4.3,0.001926523297491039,0.630421146953406
151,banner_id_19642317.0,4.3,0.001926523297491039,0.632347670250897
152,isp_78944.0,4.2,0.0018817204301075266,0.6342293906810045
153,region_code_25446.0,4.2,0.0018817204301075266,0.636111111111112
154,region_code_34.0,4.2,0.0018817204301075266,0.6379928315412194
155,advertiser_id_351187.0,4.2,0.0018817204301075266,0.6398745519713269
156,geo_MY,4.2,0.0018817204301075266,0.6417562724014344
157,region_code_25278.0,4.2,0.0018817204301075266,0.6436379928315419
158,isp_12869.0,4.199999999999999,0.0018817204301075261,0.6455197132616494
159,banner_id_22498379.0,4.1000000000000005,0.0018369175627240143,0.6473566308243733
160,advertiser_id_426508.0,4.1000000000000005,0.0018369175627240143,0.6491935483870973
161,banner_id_23545424.0,4.1000000000000005,0.0018369175627240143,0.6510304659498213
162,banner_id_24164681.0,4.1000000000000005,0.0018369175627240143,0.6528673835125453
163,zone_id_1667935.0,4.1000000000000005,0.0018369175627240143,0.6547043010752692
164,city_code_35889.0,4.1,0.0018369175627240138,0.6565412186379932
165,city_code_21231.0,4.1,0.0018369175627240138,0.6583781362007172
166,isp_114365.0,4.1,0.0018369175627240138,0.6602150537634411
167,banner_id_23928494.0,4.1,0.0018369175627240138,0.6620519713261651
168,city_code_105.0,4.1,0.0018369175627240138,0.6638888888888891
169,banner_id_22576094.0,4.1,0.0018369175627240138,0.6657258064516131
170,region_code_25749.0,4.1,0.0018369175627240138,0.667562724014337
171,isp_102308.0,4.1,0.0018369175627240138,0.669399641577061
172,isp_69941.0,4.1,0.0018369175627240138,0.671236559139785
173,city_code_14007.0,4.000000000000001,0.0017921146953405018,0.6730286738351254
